,department,institution,first_name,middle_name,last_name,title,year
48,,university of california los angeles,stanley,f,nelson,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
49,,sanford burnham institute for medical research,alexey,,terskikh,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
50,,,harley,i,kornblum,maternal embryonic leucine zipper kinase is a key regulator of the proliferation of malignant brain tumors including brain tumor stem cells,2008
51,,sanford burnham institute for medical research,mei,,liu,antitumor activity of rapamycin in a transgenic mouse model of erbb2 dependent human breast cancer,2005
52,,sanford burnham institute for medical research,jacqueline,,lesperance,antitumor activity of rapamycin in a transgenic mouse model of erbb2 dependent human breast cancer,2005
53,,sanford burnham institute for medical research,william,b,stallcup,antitumor activity of rapamycin in a transgenic mouse model of erbb2 dependent human breast cancer,2005
54,,sanford burnham institute for medical research,craig,a,hauser,antitumor activity of rapamycin in a transgenic mouse model of erbb2 dependent human breast cancer,2005
55,,sanford burnham institute for medical research,kuniko,,kadoya,antitumor activity of rapamycin in a transgenic mouse model of erbb2 dependent human breast cancer,2005
56,,sanford burnham institute for medical research,robert,g,oshima,antitumor activity of rapamycin in a transgenic mouse model of erbb2 dependent human breast cancer,2005
57,,sanford burnham institute for medical research,robert,t,abraham,antitumor activity of rapamycin in a transgenic mouse model of erbb2 dependent human breast cancer,2005
58,,sanford burnham institute for medical research,lisa,k,landberg,novel hts strategy identifies trail sensitizing compounds acting specifically through the caspase 8 apoptotic axis,2010
59,,,kristina,,vuori,caspase 8 as a potential mediator of pro tumorigenic signals,2009
60,,california polytechnic state university,mieko,,temple,a diet induced pediatric model of non alcoholic fatty liver disease using neonatal iberian pigs or26 02 19,2019
61,,,dan,,columbus,metabolomic characterization of a novel pig model of pediatric non alcoholic fatty liver disease p08 131 19,2019
62,,university of vienna,verena,,tretter,20 years of secretagogin exocytosis and beyond,2019
63,,,yanjun,,jiang,rapid postnatal upregulation of intestinal fxr fgf19 signalling in premature pigs,2020
64,,,thomas,,thymann,rapid postnatal upregulation of intestinal fxr fgf19 signalling in premature pigs,2020
65,,,per,t,sangild,rapid postnatal upregulation of intestinal fxr fgf19 signalling in premature pigs,2020
66,,,morgan,,coffin,development of a pediatric model of nafld in neonatal iberian pigs,2019
67,,,darin,,bennett,development of a pediatric model of nafld in neonatal iberian pigs,2019
68,,,robert,,fanter,development of a pediatric model of nafld in neonatal iberian pigs,2019
69,,,rodrigo,,manjarin,development of a pediatric model of nafld in neonatal iberian pigs,2019
70,,,j,c,garcia,ovulatory response of weaned sows to an altered ratio of exogenous gonadotrophins,2020
71,,,l,l,hoving,ovulatory response of weaned sows to an altered ratio of exogenous gonadotrophins,2020
72,,,n,m,soede,ovulatory response of weaned sows to an altered ratio of exogenous gonadotrophins,2020
73,,,juan,carlos dominguez fernandez de,tejerina,ovulatory response of weaned sows to an altered ratio of exogenous gonadotrophins,2020
74,biology,california polytechnic state university,laurie,,mcconnico,obituary rafael riosmena rodriguez 1966 2016,2016
75,,moss landing marine laboratories,mike,,foster,obituary rafael riosmena rodriguez 1966 2016,2016
76,,instituto politecnico nacional,gustavo,,hernandezcarmona,obituary rafael riosmena rodriguez 1966 2016,2016
77,,,courtney,,durbin,the effects of obesity on pulmonary function in children,2017
78,,,robin,,egan,the effects of obesity on pulmonary function in children,2017
79,,,kristin,,gervasi,the effects of obesity on pulmonary function in children,2017
80,,,nicole,,nadeau,the effects of obesity on pulmonary function in children,2017
81,,,suzanne,,reich,the effects of obesity on pulmonary function in children,2017
82,,,tanya,,gregory,the effects of obesity on pulmonary function in children,2017
83,,,aubrey,,cross,stadium woods preliminary use and management plan,2012
84,,,julia,,goldsworthy,stadium woods preliminary use and management plan,2012
85,,,erica,,hetzel,stadium woods preliminary use and management plan,2012
86,,,erica,,largen,stadium woods preliminary use and management plan,2012
87,,,pilar,,lopezgomez,stadium woods preliminary use and management plan,2012
88,,,john,,sturgeon,hypodense cerebral venous sinus thrombosis on unenhanced ct a potential pitfall report of a case and review of the literature,2020
89,,,dylan,,cimo,therapeutic phlebotomy related to polycythemia vera and hemochromatosis,2012
90,,,nathan,,miller,therapeutic phlebotomy related to polycythemia vera and hemochromatosis,2012
91,,,yusun,,cho,mapping the nonprofit infrastructure a comparison of capacity building and related resources in texas and beyond,2011
92,,,victor,,gongora,mapping the nonprofit infrastructure a comparison of capacity building and related resources in texas and beyond,2011
93,,,annie,,haymond,mapping the nonprofit infrastructure a comparison of capacity building and related resources in texas and beyond,2011
94,,,joyce,,jauer,mapping the nonprofit infrastructure a comparison of capacity building and related resources in texas and beyond,2011
95,,,eddiemae,,nash,mapping the nonprofit infrastructure a comparison of capacity building and related resources in texas and beyond,2011
96,,,julie,,rogers,mapping the nonprofit infrastructure a comparison of capacity building and related resources in texas and beyond,2011
97,biology,california polytechnic state university,lisa,a,needles,managing bay and estuarine ecosystems for multiple services,2015
98,,university of california,richard,f,ambrose,managing bay and estuarine ecosystems for multiple services,2015
99,,university of wisconsin madison,anders,w,andren,managing bay and estuarine ecosystems for multiple services,2015
100,,university of california,marc,,beyeler,managing bay and estuarine ecosystems for multiple services,2015
101,,,michael,s,connor,managing bay and estuarine ecosystems for multiple services,2015
102,,university of california san diego,james,e,eckman,managing bay and estuarine ecosystems for multiple services,2015
103,,university of new england,barry,a,costapierce,managing bay and estuarine ecosystems for multiple services,2015
104,,university of california,kevin,d,lafferty,managing bay and estuarine ecosystems for multiple services,2015
105,,university of california,hunter,s,lenihan,managing bay and estuarine ecosystems for multiple services,2015
106,,university of washington,julia,k,parrish,managing bay and estuarine ecosystems for multiple services,2015
107,,university of southern mississippi,mark,s,peterson,managing bay and estuarine ecosystems for multiple services,2015
108,,university of maryland college park,amy,e,scaroni,managing bay and estuarine ecosystems for multiple services,2015
109,,rutgers university,judith,s,weis,managing bay and estuarine ecosystems for multiple services,2015
110,biology,california polytechnic state university,anneka,,pisula,detecting a probiotic product within the gut of broiler chickens,2018
111,,indiana university bloomington,alfredo,,durazzo,adrenal hormones mediate melatonin induced increases in aggression in male siberian hamsters phodopus sungorus,2004
112,,rockefeller university,aaron,m,jasnow,adrenal hormones mediate melatonin induced increases in aggression in male siberian hamsters phodopus sungorus,2004
113,,indiana university,corey,,johnson,social interactions differentially affect reproductive and immune responses of siberian hamsters,2004
114,,,charlie,,remy,evolving from disability to diversity,2014
115,,,priscilla,,seaman,evolving from disability to diversity,2014
116,,michigan state university,e,,lehman,fostering inquiry in nonlaboratory settings,2004
117,,,elizabeth,,lehman,fostering inquiry in nonlaboratory settings creating student centered activities,2004
118,,,allan,m,kleiman,boomer ize your library collection,2012
119,,,spencer,,acadia,reference and research resources for medical sociology medical anthropology and health psychology,2013
120,,,amanda,,qualls,the world at 1200,2013
121,,,wayne,,bivenstatum,sacred books in english translation,2012
122,,,john,p,gorsuch,a comparison of methods for enumerating bacteria in direct fed microbials for animal feed,2019
123,,,daniel,,lesaint,a comparison of methods for enumerating bacteria in direct fed microbials for animal feed,2019
124,,,dana,,buckman,a comparison of methods for enumerating bacteria in direct fed microbials for animal feed,2019
125,,,katelynn,c,lee,optimizing gdna purification and qpcr techniques for specific detection and enumeration of probiotic bacteria,2016
126,,,katherine,,featherston,long coherence length and linear sweep without an external optical k clock in a monolithic semiconductor laser for inexpensive optical coherence tomography,2012
127,,,jonathan,,huber,long coherence length and linear sweep without an external optical k clock in a monolithic semiconductor laser for inexpensive optical coherence tomography,2012
128,,california polytechnic state university,bassem,,tossoun,hybrid silicon mode locked laser with improved rf power by impedance matching,2015
129,,university of california santa barbara,sudharsanan,,srinivasan,hybrid silicon mode locked laser with improved rf power by impedance matching,2015
130,,,marcus,,muller,digital communications test and measurement high speed physical layer characterization,2007
131,,california polytechnic state university,andrew,l,huard,improved rf power extraction from 1 55µm ge si n i p photodiodes with load impedance optimization,2010
132,,university of california santa barbara,molly,,piels,improved rf power extraction from 1 55µm ge si n i p photodiodes with load impedance optimization,2010
133,,university of california santa barbara,anand,,ramaswamy,improved rf power extraction from 1 55µm ge si n i p photodiodes with load impedance optimization,2010
134,,medical university of vienna,marco,,bonesi,akinetik swept sources,2015
135,,medical university of vienna,behrooz,,zabihian,akinetik swept sources,2015
136,,,erich,,hoover,akinetik swept sources,2015
137,,texas a m university,brian,e,applegate,akinetik swept sources,2015
138,,,thomas,,milner,akinetik swept sources,2015
139,,medical university of vienna,wolfgang,,drexler,akinetik swept sources,2015
140,,california polytechnic state university,desmond,,talkington,o band 1310 nm vernier tuned distributed bragg reflector vt dbr device characterization for oct,2014
141,,,j,g,wasserbauer,comparison of colliding pulse and self colliding pulse monolithic cavity mode locked semiconductor lasers,1992
142,,,r,j,helkey,comparison of colliding pulse and self colliding pulse monolithic cavity mode locked semiconductor lasers,1992
143,,,alan,,mar,comparison of colliding pulse and self colliding pulse monolithic cavity mode locked semiconductor lasers,1992
144,,,d,r,coblentz,comparison of colliding pulse and self colliding pulse monolithic cavity mode locked semiconductor lasers,1992
145,,,r,a,logan,comparison of colliding pulse and self colliding pulse monolithic cavity mode locked semiconductor lasers,1992
146,,california polytechnic state university,m,a,bloom,small signal and dc characterization of stressed gan on si hemts,2012
147,,california polytechnic state university,r,w,white,small signal and dc characterization of stressed gan on si hemts,2012
148,,california polytechnic state university,greg,,bergdoll,1060nm vernier tuned distributed bragg reflector vt dbr laser for swept source oct,2015
149,,california polytechnic state university,r,christian martens,biersach,frequency sweep jitter and wander of a vernier tuned distributed bragg reflector vt dbr laser at 1550 nm in oct applications,2015
150,,,matthew,,schlutz,optical low coherence reflectometry applications to meat tenderness testing,2008
151,,,marcel,c e,stieber,first year amateur radio licensing for electrical engineering students,2016
152,,,stanton,chueng,wu,first year amateur radio licensing for electrical engineering students,2016
153,,,david,,retz,empowering non engineers with a microcontrollers for everyone philosophy,2016
154,,california polytechnic state university,sam,,agbo,photonics education program at california polytechnic state university,2007
155,,california polytechnic state university,john,p,sharpe,photonics education program at california polytechnic state university,2007
156,,california polytechnic state university,dan,,wasche,photonics education program at california polytechnic state university,2007
157,,,tim,c,bagwell,angled facet edge emitting leds optimized for optical low coherence reflectometry,1995
158,,,patti,,beck,angled facet edge emitting leds optimized for optical low coherence reflectometry,1995
159,,,julie,e,fouquet,angled facet edge emitting leds optimized for optical low coherence reflectometry,1995
160,,,forrest,,kellert,angled facet edge emitting leds optimized for optical low coherence reflectometry,1995
161,,,susan,,sloan,angled facet edge emitting leds optimized for optical low coherence reflectometry,1995
162,,,matthew,n o,sadiku,principles of modern communication systems,2017
163,,florida atlantic university,perambur,s,neelakanta,reliability assessment of ccds operating under ionizing radiation ambients failure simulation studies via electrical overstressing,1992
164,,florida atlantic university,lourdes,m,lay,reliability assessment of ccds operating under ionizing radiation ambients failure simulation studies via electrical overstressing,1992
165,,,eugene,d,fabricius,integrated circuit design,2005
166,,agilent technologies,ben,,smythe,organic based microwave frequency absorbers using corn stover,2014
167,,tdk,sean,,casserly,organic based microwave frequency absorbers using corn stover,2014
168,,northrop grumman,daniel,,colles,multi technique broadband microstrip patch antenna design,2014
169,,,kamron,,sockolov,uhf rfid antenna impedance matching techniques,2017
170,,,adam,,blenk,evolving antennas for ultra high energy neutrino detection,2019
171,,,b,l,clark,evolving antennas for ultra high energy neutrino detection,2019
172,,,maximilian,,clowdus,evolving antennas for ultra high energy neutrino detection,2019
173,,,david,r,liu,evolving antennas for ultra high energy neutrino detection,2019
174,,,cade,,sbrocco,evolving antennas for ultra high energy neutrino detection,2019
175,,,thomas,,sinha,evolving antennas for ultra high energy neutrino detection,2019
176,,harris corporation,mike,,newton,method for producing anisotropic dielectric layer and devices including same,1998
177,,harris corporation,joseph,p,dougherty,method for producing anisotropic dielectric layer and devices including same,1998
178,,harris corporation,else,,breval,method for producing anisotropic dielectric layer and devices including same,1998
179,,harris corporation,maria,,klimkiewicz,method for producing anisotropic dielectric layer and devices including same,1998
180,,california polytechnic state university,alexander,j,hempy,design and assembly of an antenna demonstration system education column,2012
181,,,sam,,romano,evolving antennas for radio detection of ultra high energy neutrinos,2018
182,,,lucas,,smith,evolving antennas for radio detection of ultra high energy neutrinos,2018
183,,,max,,walker,evolving antennas for radio detection of ultra high energy neutrinos,2018
184,,,john,,wookey,evolving antennas for radio detection of ultra high energy neutrinos,2018
185,,,maximilian,,moy,conducted emissions testing for electromagnetic compatibility,2005
186,,university of california santa barbara,brian,,graham,design of a low cost acoustic modem for moored oceanographic applications,2006
187,,,deborah,,goshorn,field programmable gate array fpga based fish detection using haar classifiers,2009
188,,university of california los angeles,sunsern,,cheamanukul,increased performace of fpga based color classification system,2010
189,,chinese academy of sciences,lan,,chen,determining the suitability of fpgas for a low cost low power underwater acoustic modem,2012
190,,,f,,spada,real time telemetry options for ocean observing systems,2008
191,,,lynne,a,slivovksy,a semi autonomous embedded systems course,2013
192,,,lynne,a,slivovksy,a semi-autonomous embedded systems course,2013
193,,,jim,,harris,a semi autonomous embedded systems course,2013
194,,,jim,,harris,a semi-autonomous embedded systems course,2013
195,,california polytechnic state university,bryan,,mealy,experience with teaching digital design online,2014
196,,california polytechnic state university,joshua,,warner,budgetrov an ultra low cost robotics platform for education and research,2017
197,,,kenneth,w,finnegan,clarifying the amateur bell 202 modem,2014
198,,,matt,jamison,burnett,convergence an engineering and arts education project that brings together faculty and students of different disciplines and nationalities,2018
199,,,michael,,poretti,design of modular camera tool for mini underwater rovs,2013
200,,,chris,,rauch,design of modular camera tool for mini underwater rovs,2013
201,,,aaron,,jen,the pier portal a web controlled underwater profiling camera,2013
202,,,misha,,balingit,the pier portal a web controlled underwater profiling camera,2013
203,,,cory,,spieler,the pier portal a web controlled underwater profiling camera,2013
204,,,brian,,markwart,the pier portal a web controlled underwater profiling camera,2013
205,,,andy,,lam,the pier portal a web controlled underwater profiling camera,2013
206,,,inversion,,architectures,gusto an automatic generation and optimization tool for matrix,2010
207,,,galen,d,stucky,semiconducting polymer buckminsterfullerene heterojunctions diodes photodiodes and photovoltaic cells,1993
208,,university of california santa barbara,rand,s,worland,metal polymer schottky barriers on processible polymers,1989
209,,,goran,,gustafsson,electroluminescence and electrical transport in poly 3 octylthiophene diodes,1992
210,,,d,,mcbranch,electroluminescence and electrical transport in poly 3 octylthiophene diodes,1992
211,,lawrence livermore national laboratory,j,d,lindl,progress towards ignition on the national ignition facility,2011
212,,lawrence livermore national laboratory,p,a,amednt,progress towards ignition on the national ignition facility,2011
213,,los alamos national laboratory,s,h,batha,progress towards ignition on the national ignition facility,2011
214,,lawrence livermore national laboratory,p,m,bell,progress towards ignition on the national ignition facility,2011
215,,university of rochester,r,,betti,progress towards ignition on the national ignition facility,2011
216,,lawrence livermore national laboratory,d,l,bleuel,progress towards ignition on the national ignition facility,2011
217,,university of rochester,t,r,boehly,progress towards ignition on the national ignition facility,2011
218,,lawrence livermore national laboratory,d,a,callahan,progress towards ignition on the national ignition facility,2011
219,,lawrence livermore national laboratory,c,,cerjan,progress towards ignition on the national ignition facility,2011
220,,lawrence livermore national laboratory,d,s,clark,progress towards ignition on the national ignition facility,2011
221,,lawrence livermore national laboratory,r,c,cook,progress towards ignition on the national ignition facility,2011
222,,lawrence livermore national laboratory,e,l,dewald,progress towards ignition on the national ignition facility,2011
223,,lawrence livermore national laboratory,e,g,dzenitis,progress towards ignition on the national ignition facility,2011
224,,lawrence livermore national laboratory,j,,fair,progress towards ignition on the national ignition facility,2011
225,,lawrence livermore national laboratory,r,j,fortner,progress towards ignition on the national ignition facility,2011
226,,university of rochester,v,yu,glebov,progress towards ignition on the national ignition facility,2011
227,,lawrence livermore national laboratory,s,w,haan,progress towards ignition on the national ignition facility,2011
228,,university of rochester,d,r,harding,progress towards ignition on the national ignition facility,2011
229,,lawrence livermore national laboratory,s,p,hatchett,progress towards ignition on the national ignition facility,2011
230,,los alamos national laboratory,h,w,herrmann,progress towards ignition on the national ignition facility,2011
231,,sandia national laboratories,mark,,herrmann,progress towards ignition on the national ignition facility,2011
232,,los alamos national laboratory,n,m,hoffman,progress towards ignition on the national ignition facility,2011
233,,general atomics,h,,huang,progress towards ignition on the national ignition facility,2011
234,,lawrence livermore national laboratory,n,,izumi,progress towards ignition on the national ignition facility,2011
235,,lawrence livermore national laboratory,b,,jacoby,progress towards ignition on the national ignition facility,2011
236,,general atomics,j,d,kilkenny,progress towards ignition on the national ignition facility,2011
237,,university of rochester,j,p,knauer,progress towards ignition on the national ignition facility,2011
238,,lawrence livermore national laboratory,j,a,koch,progress towards ignition on the national ignition facility,2011
239,,lawrence livermore national laboratory,b,j,kozioziemski,progress towards ignition on the national ignition facility,2011
240,,los alamos national laboratory,g,a,kyrala,progress towards ignition on the national ignition facility,2011
241,,lawrence livermore national laboratory,k,n la,fortune,progress towards ignition on the national ignition facility,2011
242,,lawrence livermore national laboratory,r,a,lerche,progress towards ignition on the national ignition facility,2011
243,,lawrence livermore national laboratory,s,le,pape,progress towards ignition on the national ignition facility,2011
244,,lawrence livermore national laboratory,r,a,london,progress towards ignition on the national ignition facility,2011
245,,lawrence livermore national laboratory,andrew,,mackinnon,progress towards ignition on the national ignition facility,2011
246,,lawrence livermore national laboratory,t,n,malsbury,progress towards ignition on the national ignition facility,2011
247,,lawrence livermore national laboratory,e,r,mapoles,progress towards ignition on the national ignition facility,2011
248,,lawrence livermore national laboratory,m,m,marinak,progress towards ignition on the national ignition facility,2011
249,,university of rochester,p,w,mckenty,progress towards ignition on the national ignition facility,2011
250,,university of rochester,d,d,meyerhofer,progress towards ignition on the national ignition facility,2011
251,,lawrence livermore national laboratory,p,,michel,progress towards ignition on the national ignition facility,2011
252,,lawrence livermore national laboratory,j,l,milovich,progress towards ignition on the national ignition facility,2011
253,,lawrence livermore national laboratory,m,j,moran,progress towards ignition on the national ignition facility,2011
254,,general atomics,k,a,moreno,progress towards ignition on the national ignition facility,2011
255,,general atomics,a,,nikroo,progress towards ignition on the national ignition facility,2011
256,,lawrence livermore national laboratory,r,w,patterson,progress towards ignition on the national ignition facility,2011
257,,sandia national laboratories,k,,peterson,progress towards ignition on the national ignition facility,2011
258,,lawrence livermore national laboratory,j,e,ralph,progress towards ignition on the national ignition facility,2011
259,,university of rochester,sean,,regan,progress towards ignition on the national ignition facility,2011
260,,lawrence livermore national laboratory,mordecai,d,rosen,progress towards ignition on the national ignition facility,2011
261,,lawrence livermore national laboratory,r,a,sacks,progress towards ignition on the national ignition facility,2011
262,,lawrence livermore national laboratory,jay,d,salmonson,progress towards ignition on the national ignition facility,2011
263,,university of rochester,t,c,sangster,progress towards ignition on the national ignition facility,2011
264,,lawrence livermore national laboratory,s,m,sepke,progress towards ignition on the national ignition facility,2011
265,,lawrence livermore national laboratory,d,h,schneider,progress towards ignition on the national ignition facility,2011
266,,university of rochester,c,,stoeckl,progress towards ignition on the national ignition facility,2011
267,,lawrence livermore national laboratory,r,,tommasini,progress towards ignition on the national ignition facility,2011
268,,lawrence livermore national laboratory,r,p j,town,progress towards ignition on the national ignition facility,2011
269,,lawrence livermore national laboratory,b,,vanwonterghem,progress towards ignition on the national ignition facility,2011
270,,sandia national laboratories,r,,vesey,progress towards ignition on the national ignition facility,2011
271,,lawrence livermore national laboratory,k,,widman,progress towards ignition on the national ignition facility,2011
272,,lawrence livermore national laboratory,c,clay,widmayer,progress towards ignition on the national ignition facility,2011
273,,los alamos national laboratory,m,d,wilke,progress towards ignition on the national ignition facility,2011
274,,general atomics,h,,wilkens,progress towards ignition on the national ignition facility,2011
275,,los alamos national laboratory,douglas,,wilson,progress towards ignition on the national ignition facility,2011
276,,philips,christianne,r m de,witz,electroluminescent illumination system,1996
277,,,craig,,bahlmann,multifolded composite tape for use in cable manufacture and methods for making same,2003
278,,,ethan,,franklin,multifolded composite tape for use in cable manufacture and methods for making same,2003
279,,,tom,,siekierka,multifolded composite tape for use in cable manufacture and methods for making same,2003
280,,,phillip,,shows,multifolded composite tape for use in cable manufacture and methods for making same,2003
281,,complutense university of madrid,jose,l m,madrigal,noradrenergic regulation of glial activation molecular mechanisms and therapeutic implications,2014
282,,philips,rifat,ata mustafa,hikmet,electroluminescent device having electroluminescent compound and liquid crystalline compound,1996
283,,philips,hermannus,f m,schoo,electroluminescent device having electroluminescent compound and liquid crystalline compound,1996
284,,philips,johan,,lub,electroluminescent device having electroluminescent compound and liquid crystalline compound,1996
285,,the catholic university of america,lucia,,lisi,expression of inos cd163 and arg 1 taken as m1 and m2 markers of microglial polarization in human glioblastoma and the surrounding normal parenchyma,2017
286,,the catholic university of america,gabriella,maria pia,ciotti,expression of inos cd163 and arg 1 taken as m1 and m2 markers of microglial polarization in human glioblastoma and the surrounding normal parenchyma,2017
287,,the catholic university of america,diego,,curro,expression of inos cd163 and arg 1 taken as m1 and m2 markers of microglial polarization in human glioblastoma and the surrounding normal parenchyma,2017
288,,the catholic university of america,c,dello,russo,expression of inos cd163 and arg 1 taken as m1 and m2 markers of microglial polarization in human glioblastoma and the surrounding normal parenchyma,2017
289,,the catholic university of america,antonella,,coli,expression of inos cd163 and arg 1 taken as m1 and m2 markers of microglial polarization in human glioblastoma and the surrounding normal parenchyma,2017
290,,the catholic university of america,annunziato,,mangiola,expression of inos cd163 and arg 1 taken as m1 and m2 markers of microglial polarization in human glioblastoma and the surrounding normal parenchyma,2017
291,,the catholic university of america,carmelo,,anile,expression of inos cd163 and arg 1 taken as m1 and m2 markers of microglial polarization in human glioblastoma and the surrounding normal parenchyma,2017
292,,the catholic university of america,pierluigi,,navarra,expression of inos cd163 and arg 1 taken as m1 and m2 markers of microglial polarization in human glioblastoma and the surrounding normal parenchyma,2017
293,,philips,karel,elbert,kuijk,electroluminescent display device including active polymer layer,1996
294,,,vivien,c,tartter,hearing smiles and frowns in normal and whisper registers,1994
295,,philips,yves,a r r,kessener,photo and electroluminescence efficiency in soluble poly dialky1 p phenylenevinylene,1994
